From.Grade,To.Grade,Is.Non.Annual.,Days,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Cancelled.Pax,Total.Discount.Pax,CRM.Segment,Parent.Meeting.Flag,Total.School.Enrollment,EZ.Pay.Take.Up.Rate,School.Sponsor,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,Retained.in.2012.
6,8,0,4,1703,3,2,0.6,4,1,10,1,996,0.2,0,5,6,1703,1,165,165,0.00502008,0.833333333,1,1
8,8,0,4,1467,18,1,0.75,2,1,10,1,1249,0.208,0,24,25,1467,1,192,192,0.019215372,0.96,1,1
7,7,0,4,1299,32,2,0.525,2,6,10,1,760,0.279,0,61,67,1299,1,289,289,0.080263158,0.910447761,6,1
6,8,0,4,1738,2,2,0.5,3,1,10,1,900,0.5,0,4,5,1738,2,305,185,0.004444444,0.8,1,0
8,8,0,4,1637,13,3,0.722,3,2,10,1,547,0.167,0,18,20,1637,1,173,173,0.032906764,0.9,2,1
7,8,0,4,1624,9,5,0.692,7,2,5,1,1266,0,0,13,15,1624,2,298,193,0.010268562,0.866666667,2,1
5,6,1,4,1435,37,7,0.804,9,3,5,1,675,0.217,0,46,49,1435,1,177,177,0.068148148,0.93877551,3,0
8,8,0,4,1650,13,2,0.565,4,2,10,1,919,0.174,0,23,25,1650,2,291,184,0.025027203,0.92,2,1
8,8,0,4,1560,10,1,0.833,1,1,5,1,900,0.25,0,12,13,1560,2,296,170,0.013333333,0.923076923,1,1
7,8,0,4,1677,7,6,0.539,6,1,5,1,875,0.154,0,13,14,1677,1,207,207,0.014857143,0.928571429,1,1
8,8,0,4,1733,9,1,0.75,1,4,5,1,638,0.417,0,12,16,1733,1,165,165,0.018808777,0.75,4,1
8,8,0,5,1853,11,3,0.647,3,2,10,1,1318,0.294,0,17,19,1853,1,179,179,0.012898331,0.894736842,2,1
7,8,1,5,1859,22,10,0.647,12,2,5,1,743,0.177,0,34,36,1859,1,205,205,0.045760431,0.944444444,2,0
7,8,0,5,1668,23,4,0.677,5,4,10,1,220,0.177,0,34,38,1668,2,298,193,0.154545455,0.894736842,4,0
8,8,0,5,1891,7,0,0.583,1,1,10,1,429,0.083,0,12,13,1891,1,303,303,0.027972028,0.923076923,1,0
8,8,0,5,2021,4,1,0.5,9,2,10,1,509,0,0,8,10,2021,1,193,193,0.015717092,0.8,2,1
8,8,0,5,1781,20,2,0.769,2,2,5,1,717,0.385,0,26,28,1781,2,319,184,0.036262204,0.928571429,2,1
8,8,0,5,2058,19,9,0.633,8,3,10,1,1514,0.3,0,30,33,2058,1,164,164,0.019815059,0.909090909,3,1
8,8,0,5,1826,5,8,0.227,14,6,10,1,239,0.318,0,22,28,1826,2,293,200,0.092050209,0.785714286,6,0
8,8,0,5,1861,4,1,0.5,4,1,10,1,947,0.125,0,8,9,1861,1,151,151,0.00844773,0.888888889,1,0
8,8,0,5,1887,7,3,0.778,3,1,5,1,1077,0.222,0,9,10,1887,1,179,179,0.008356546,0.9,1,1
8,8,0,6,2265,38,6,0.559,9,8,10,1,625,0.118,0,68,76,2265,1,192,192,0.1088,0.894736842,8,1
8,8,0,5,1998,11,2,0.786,2,2,3,1,449,0.286,0,14,16,1998,2,179,171,0.031180401,0.875,2,1
7,8,0,6,2153,6,3,0.857,5,1,5,1,783,0.143,0,7,8,2153,2,283,193,0.008939974,0.875,1,1
8,8,0,6,1284,30,6,0.625,9,8,10,1,1305,0.271,0,48,56,1284,2,319,166,0.036781609,0.857142857,8,1
8,8,0,6,1999,7,3,0.467,3,1,5,1,1032,0.133,0,15,16,1999,1,166,166,0.014534884,0.9375,1,1
7,8,0,7,2298,11,1,0.688,2,3,7,1,497,0.375,0,16,19,2298,2,313,173,0.032193159,0.842105263,3,1
8,8,0,6,2485,5,1,0.313,3,2,5,1,650,0.125,0,16,18,2485,2,318,199,0.024615385,0.888888889,2,1
8,8,0,8,2070,54,11,0.643,10,10,10,1,767,0.238,0,84,94,2070,1,177,177,0.109517601,0.893617021,10,1
6,8,0,4,1593,4,1,0.571,4,1,10,1,1360,0.143,0,7,8,1593,2,178,164,0.005147059,0.875,1,0
8,8,0,4,1591,27,13,0.563,14,6,10,1,487,0.271,0,48,54,1591,1,193,193,0.098562628,0.888888889,6,1
8,8,0,4,1508,32,10,0.681,12,3,10,1,767,0.149,0,47,50,1508,1,187,187,0.061277705,0.94,3,1
7,8,1,4,1718,16,0,0.667,1,2,10,1,475,0.125,0,24,26,1718,1,161,161,0.050526316,0.923076923,2,0
7,8,1,4,1585,25,4,0.781,6,3,10,1,772,0.188,0,32,35,1585,1,171,171,0.041450777,0.914285714,3,0
8,8,0,4,1606,5,4,0.625,4,1,10,1,550,0.25,0,8,9,1606,1,181,181,0.014545455,0.888888889,1,1
8,8,0,4,1577,4,2,0.8,3,1,5,1,789,0.2,0,5,6,1577,2,327,166,0.006337136,0.833333333,1,1
7,8,0,4,1336,21,6,0.75,7,3,10,1,1792,0.179,0,28,31,1336,2,310,199,0.015625,0.903225806,3,1
8,8,0,4,1508,30,12,0.652,13,3,10,1,895,0.13,0,46,49,1508,1,186,186,0.051396648,0.93877551,3,1
6,8,0,4,1557,7,1,1,5,1,4,1,172,0.143,0,7,8,1557,2,180,159,0.040697674,0.875,1,0
6,7,0,5,2025,19,3,0.731,4,2,4,1,642,0.077,0,26,28,2025,2,297,173,0.040498442,0.928571429,2,1
6,8,1,5,1539,12,4,0.75,4,2,10,1,380,0.125,0,16,18,1539,1,195,195,0.042105263,0.888888889,2,0
8,8,0,5,2069,10,0,0.435,0,3,5,1,300,0.174,0,23,26,2069,1,213,213,0.076666667,0.884615385,3,1
7,8,0,5,2288,1,1,0.059,1,2,10,1,331,0,0,17,19,2288,1,199,199,0.051359517,0.894736842,2,0
8,8,0,5,1624,13,2,0.464,4,3,5,1,790,0.143,0,28,31,1624,1,200,200,0.035443038,0.903225806,3,1
7,12,0,6,2099,16,14,0.516,17,4,5,1,580,0.032,0,31,35,2099,2,223,222,0.053448276,0.885714286,4,0
8,8,0,6,2033,36,5,0.529,6,6,5,1,800,0.221,1,68,74,2033,2,214,178,0.085,0.918918919,6,1
5,6,0,6,1083,0,0,0,5,3,2,1,329,0,1,51,54,1083,1,137,137,0.155015198,0.944444444,3,1
5,5,0,5,1688,16,7,0.552,7,3,4,1,600,0.172,0,29,32,1688,2,325,178,0.048333333,0.90625,3,1
8,8,0,6,2179,12,4,0.8,5,1,5,1,804,0.067,0,15,16,2179,1,179,179,0.018656716,0.9375,1,1
8,8,0,7,2279,6,1,0.857,2,1,5,1,388,0.286,0,7,8,2279,2,320,166,0.018041237,0.875,1,1
8,8,0,6,2049,4,3,0.174,2,2,5,1,966,0.087,0,23,25,2049,1,143,143,0.023809524,0.92,2,0
8,8,0,3,1159,12,11,0.6,19,2,4,1,300,0.1,0,20,22,1159,2,195,182,0.066666667,0.909090909,2,0
8,8,0,4,2226,4,2,1,2,1,10,1,220,0.25,0,4,5,2226,1,300,300,0.018181818,0.8,1,0
11,12,1,4,1249,16,2,0.615,5,3,10,1,465,0.346,0,26,29,1249,1,173,173,0.055913978,0.896551724,3,0
7,8,0,4,1600,9,6,0.563,6,1,10,1,276,0,0,16,17,1600,1,158,158,0.057971014,0.941176471,1,1
8,8,0,4,1524,8,1,0.444,2,1,10,1,407,0.222,0,18,19,1524,1,286,286,0.044226044,0.947368421,1,1
8,8,0,4,1749,9,2,0.692,5,2,10,1,800,0.077,0,13,15,1749,2,399,172,0.01625,0.866666667,2,0
7,9,0,4,1799,7,3,1,2,2,10,1,269,0.143,0,7,9,1799,2,293,160,0.026022305,0.777777778,2,1
7,8,0,5,1414,23,9,0.742,8,4,5,1,1019,0.258,0,31,35,1414,1,186,186,0.030421982,0.885714286,4,0
7,8,0,5,1615,11,2,0.579,2,2,10,1,400,0.053,0,19,21,1615,1,202,202,0.0475,0.904761905,2,1
8,8,0,5,1638,14,3,0.5,4,2,10,1,853,0.286,0,28,30,1638,2,307,196,0.032825322,0.933333333,2,1
8,8,0,5,1576,25,6,0.676,10,4,10,1,620,0.081,0,37,41,1576,1,187,187,0.059677419,0.902439024,4,1
8,8,0,5,2550,17,8,0.63,9,3,5,1,1138,0.185,0,27,30,2550,1,180,180,0.023725835,0.9,3,1
7,8,1,3,1399,14,3,0.609,5,2,10,1,220,0.391,0,23,25,1399,1,187,187,0.104545455,0.92,2,0
8,12,0,3,1269,0,0,0,3,8,4,1,500,0,0,43,51,1269,1,151,151,0.086,0.843137255,8,0
7,8,0,3,1249,8,1,0.421,1,1,2,1,245,0.053,0,19,20,1249,1,166,166,0.07755102,0.95,1,0
7,10,0,4,1600,15,6,0.882,8,2,10,1,198,0.294,0,17,19,1600,1,195,195,0.085858586,0.894736842,2,1
7,8,1,4,1585,31,13,0.738,15,3,10,1,379,0.333,0,42,45,1585,1,315,315,0.110817942,0.933333333,3,0
6,6,0,4,1967,6,0,0.546,0,2,4,1,165,0.364,0,11,13,1967,1,210,210,0.066666667,0.846153846,2,1
7,7,0,4,1290,35,3,0.814,3,4,5,1,700,0.349,0,43,47,1290,1,181,181,0.061428571,0.914893617,4,0
8,8,0,4,1489,21,2,0.618,4,2,5,1,482,0.441,0,34,36,1489,2,295,176,0.070539419,0.944444444,2,1
8,8,0,4,1569,4,6,0.667,6,2,10,1,512,0.167,0,6,8,1569,1,183,183,0.01171875,0.75,2,1
5,5,0,4,1621,26,7,0.65,7,3,4,1,820,0.125,0,40,43,1621,2,369,168,0.048780488,0.930232558,3,1
7,8,0,4,489,64,11,0.538,12,12,10,1,1016,0.067,1,119,131,489,1,195,195,0.117125984,0.908396947,12,1
8,8,0,4,1728,3,5,0.6,6,2,10,1,757,0.2,0,5,7,1728,2,307,160,0.00660502,0.714285714,2,1
8,8,0,5,1936,21,6,0.724,6,3,5,1,1441,0.483,0,29,32,1936,2,404,175,0.020124913,0.90625,3,1
8,8,0,5,2101,12,1,0.923,1,1,10,1,1019,0.077,0,13,14,2101,1,181,181,0.012757605,0.928571429,1,0
8,9,1,3,660,23,12,0.479,11,3,2,1,430,0.083,0,48,51,660,1,194,194,0.111627907,0.941176471,3,0
8,8,0,5,1856,10,7,0.5,7,2,10,1,357,0.3,0,20,22,1856,2,315,303,0.056022409,0.909090909,2,1
8,12,1,5,2043,15,10,0.577,6,2,10,1,337,0.269,0,26,28,2043,1,322,322,0.077151335,0.928571429,2,0
7,8,1,5,2049,4,1,0.8,0,1,5,1,920,0.2,0,5,6,2049,1,180,180,0.005434783,0.833333333,1,0
6,8,0,5,2088,6,1,0.429,2,1,5,1,812,0.5,0,14,15,2088,1,187,187,0.017241379,0.933333333,1,0
6,8,0,5,2049,8,15,0.667,20,2,10,1,880,0.5,0,12,14,2049,1,173,173,0.013636364,0.857142857,2,1
8,8,0,6,890,27,3,0.711,5,4,10,1,225,0.132,0,38,42,890,1,299,299,0.168888889,0.904761905,4,1
6,8,1,11,3479,32,1,0.842,1,4,5,1,600,0.237,1,38,42,3479,1,187,187,0.063333333,0.904761905,4,1
8,8,0,3,439,51,9,0.472,13,10,10,1,811,0.111,0,108,118,439,1,183,183,0.133168927,0.915254237,10,0
8,8,1,4,1573,20,5,0.87,5,2,10,1,222,0.174,0,23,25,1573,2,189,154,0.103603604,0.92,2,0
7,8,1,5,1982,8,0,0.667,0,1,7,1,313,0.25,0,12,13,1982,1,183,183,0.038338658,0.923076923,1,1
8,8,0,5,2075,1,3,0.5,4,1,7,1,1000,1,0,2,3,2075,2,310,183,0.002,0.666666667,1,0
8,8,0,5,479,32,2,0.615,7,3,10,1,692,0.154,0,52,55,479,1,176,176,0.075144509,0.945454545,3,1
6,8,0,5,1898,0,4,0,5,1,6,1,1101,0.2,0,5,6,1898,1,190,190,0.004541326,0.833333333,1,0
9,12,0,5,1857,0,0,0,0,2,7,1,1020,0,0,18,20,1857,1,28,28,0.017647059,0.9,2,0
8,8,0,4,1539,7,2,0.5,3,2,10,1,230,0.286,0,14,16,1539,1,203,203,0.060869565,0.875,2,1
7,8,0,3,1058,19,1,0.704,1,5,10,1,334,0.185,0,27,32,1058,1,185,185,0.080838323,0.84375,5,1
8,8,0,3,1149,72,9,0.791,12,8,10,1,760,0.319,0,91,99,1149,1,179,179,0.119736842,0.919191919,8,1
11,12,1,5,2002,28,5,0.583,5,3,8,1,450,0.313,0,48,51,2002,2,306,131,0.106666667,0.941176471,3,0
7,8,0,5,460,27,8,0.551,8,3,10,1,423,0.143,0,49,52,460,2,330,148,0.115839243,0.942307692,3,0
8,8,0,6,1039,18,2,0.529,2,2,10,1,758,0.235,0,34,36,1039,1,185,185,0.044854881,0.944444444,2,1
8,8,0,6,1039,54,10,0.524,13,10,10,1,702,0.243,0,103,113,1039,1,185,185,0.146723647,0.911504425,10,1
8,8,0,6,1039,20,2,0.769,2,1,10,1,470,0.462,0,26,27,1039,1,185,185,0.055319149,0.962962963,1,1
8,8,0,6,1002,38,5,0.576,6,6,10,1,644,0.303,0,66,72,1002,1,199,199,0.102484472,0.916666667,6,1
4,5,0,7,2599,6,0,0.261,0,3,5,1,300,0.304,1,23,26,2599,1,185,185,0.076666667,0.884615385,3,1
4,4,0,2,618,9,2,0.391,6,2,4,1,980,0.174,0,23,25,618,1,150,150,0.023469388,0.92,2,0
8,8,0,3,1068,13,4,0.867,5,2,10,1,750,0.2,0,15,17,1068,1,193,193,0.02,0.882352941,2,1
8,8,0,4,1219,22,1,0.733,1,2,2,1,428,0.433,0,30,32,1219,1,172,172,0.070093458,0.9375,2,1
11,12,0,4,1596,10,2,0.909,2,1,6,1,1300,0.182,0,11,12,1596,1,185,185,0.008461538,0.916666667,1,1
7,8,0,4,1834,6,3,0.375,3,2,5,1,970,0,0,16,18,1834,1,206,206,0.016494845,0.888888889,2,1
10,12,0,4,1593,15,4,0.75,5,2,6,1,2127,0.05,0,20,22,1593,1,156,156,0.009402915,0.909090909,2,1
7,8,0,5,1967,18,0,0.692,1,2,5,1,533,0.039,0,26,28,1967,1,185,185,0.048780488,0.928571429,2,1
8,8,0,4,1632,25,11,0.781,11,2,10,1,950,0.188,0,32,34,1632,1,187,187,0.033684211,0.941176471,2,1
8,8,0,5,1549,30,4,0.682,6,3,10,1,982,0.341,0,44,47,1549,1,185,185,0.044806517,0.936170213,3,1
8,9,0,5,875,14,5,0.609,5,4,10,1,1101,0.13,0,23,27,875,1,199,199,0.0208901,0.851851852,4,1
8,8,0,5,1847,12,5,0.632,6,1,5,1,1110,0.211,0,19,20,1847,1,187,187,0.017117117,0.95,1,1
8,8,0,6,2588,7,1,0.233,5,3,5,1,538,0.2,0,30,33,2588,1,191,191,0.055762082,0.909090909,3,1
8,8,0,6,2125,26,6,0.634,9,8,10,1,1038,0.073,0,41,49,2125,2,340,200,0.039499037,0.836734694,8,1
5,8,0,5,2157,14,8,0.778,7,2,5,1,745,0.333,1,18,20,2157,1,171,171,0.024161074,0.9,2,0
6,8,0,6,2127,31,11,0.608,15,4,5,1,1103,0.235,0,51,55,2127,1,185,185,0.046237534,0.927272727,4,1
8,8,0,7,2144,30,5,0.588,5,2,5,1,950,0.216,0,51,53,2144,2,179,109,0.053684211,0.962264151,2,1
8,8,0,7,3089,33,5,0.825,5,7,5,1,1500,0.45,0,40,47,3089,1,193,193,0.026666667,0.85106383,7,0
8,8,0,6,2260,14,0,0.519,1,2,5,1,623,0.111,0,27,29,2260,1,185,185,0.043338684,0.931034483,2,1
7,8,0,7,1087,37,6,0.712,8,2,10,1,810,0.269,0,52,54,1087,1,184,184,0.064197531,0.962962963,2,1
7,9,0,7,2249,10,3,0.625,4,2,5,1,650,0.188,0,16,18,2249,1,199,199,0.024615385,0.888888889,2,1
8,8,0,7,2395,4,2,0.095,17,3,5,1,445,0,0,42,45,2395,1,187,187,0.094382022,0.933333333,3,1
9,11,0,7,2049,10,1,0.357,2,3,8,1,425,0.143,0,28,31,2049,1,172,172,0.065882353,0.903225806,3,0
8,8,0,7,2739,16,3,0.485,9,4,5,1,800,0.03,1,33,37,2739,1,198,198,0.04125,0.891891892,4,1
8,8,0,3,1016,81,17,0.764,17,11,5,1,950,0.321,0,106,117,1016,1,187,187,0.111578947,0.905982906,11,1
11,12,0,3,809,4,2,0.4,4,1,8,1,2778,0.2,0,10,11,809,1,157,157,0.003599712,0.909090909,1,0
7,7,0,4,1572,34,9,0.773,6,5,5,1,336,0.205,0,44,49,1572,1,174,174,0.130952381,0.897959184,5,1
