age,jobadmin.,jobblue.collar,jobentrepreneur,jobhousemaid,jobmanagement,jobretired,jobself.employed,jobservices,jobstudent,jobtechnician,jobunemployed,jobunknown,maritaldivorced,maritalmarried,maritalsingle,educationprimary,educationsecondary,educationtertiary,educationunknown,defaultno,defaultyes,balance,housingno,housingyes,loanno,loanyes,contactcellular,contacttelephone,contactunknown,campaign,pdays,previous,poutcomefailure,poutcomeother,poutcomesuccess,poutcomeunknown,deposityes
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,79,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1205,0,1,1,0,1,0,0,1,328,2,0,1,0,0,0
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,365,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
41,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1897,0,1,1,0,0,0,1,3,-1,0,0,0,0,1,0
42,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1165,0,1,1,0,1,0,0,6,-1,0,0,0,0,1,0
56,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,260,0,1,1,0,0,1,0,2,-1,0,0,0,0,1,0
52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1624,1,0,1,0,0,0,1,3,-1,0,0,0,0,1,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,355,0,1,1,0,1,0,0,2,138,6,0,1,0,0,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1403,1,0,1,0,1,0,0,8,326,2,1,0,0,0,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,720,1,0,1,0,1,0,0,4,-1,0,0,0,0,1,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,13,1,0,0,1,1,0,0,1,-1,0,0,0,0,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,140,0,1,1,0,1,0,0,2,365,1,1,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,521,0,1,1,0,0,0,1,3,-1,0,0,0,0,1,0
59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,416,1,0,1,0,0,0,1,3,-1,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,911,0,1,0,1,1,0,0,3,-1,0,0,0,0,1,0
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,476,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,631,1,0,1,0,1,0,0,7,-1,0,0,0,0,1,0
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1121,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,138,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
48,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3570,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,882,0,1,0,1,0,0,1,2,-1,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3350,0,1,1,0,1,0,0,1,269,3,0,1,0,0,0
54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,865,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,5,-1,0,0,0,0,1,0
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,379,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,839,1,0,0,1,1,0,0,2,774,11,1,0,0,0,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,576,1,0,1,0,1,0,0,1,111,2,0,1,0,0,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,643,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,402,1,0,1,0,1,0,0,7,330,17,1,0,0,0,0
55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1161,0,1,1,0,1,0,0,6,-1,0,0,0,0,1,0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,258,1,0,0,1,1,0,0,1,-1,0,0,0,0,1,0
51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,119,1,0,1,0,1,0,0,1,165,2,1,0,0,0,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,273,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
51,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,127,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
47,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,-150,1,0,1,0,1,0,0,4,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,20718,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
47,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2290,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,160,0,1,0,1,1,0,0,1,-1,0,0,0,0,1,0
30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,192,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,385,1,0,0,1,1,0,0,4,193,7,1,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,39,1,0,1,0,1,0,0,7,-1,0,0,0,0,1,0
64,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2139,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5888,0,1,1,0,0,0,1,5,-1,0,0,0,0,1,0
57,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3431,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,188,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,873,0,1,1,0,0,1,0,1,167,3,0,0,1,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,76,1,0,0,1,0,0,1,1,-1,0,0,0,0,1,0
50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2731,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,384,1,0,1,0,0,1,0,1,-1,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,411,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-196,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
42,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,508,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,486,1,0,1,0,0,1,0,5,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,4062,0,1,0,1,1,0,0,1,-1,0,0,0,0,1,0
32,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1349,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,395,1,0,1,0,1,0,0,3,-1,0,0,0,0,1,0
43,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,25,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,165,1,0,1,0,1,0,0,1,83,1,0,1,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,795,1,0,1,0,1,0,0,3,-1,0,0,0,0,1,0
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,166,1,0,1,0,1,0,0,6,-1,0,0,0,0,1,0
31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,157,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,174,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,600,0,1,1,0,1,0,0,2,196,1,1,0,0,0,0
33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,197,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,797,0,1,1,0,1,0,0,4,-1,0,0,0,0,1,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1327,0,1,0,1,0,0,1,2,-1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3395,0,1,1,0,1,0,0,1,188,1,1,0,0,0,0
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1187,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3047,0,1,1,0,1,0,0,1,370,2,1,0,0,0,0
58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1387,0,1,1,0,0,0,1,5,-1,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,4,-1,0,0,0,0,1,0
36,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1655,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,196,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
51,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1327,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
43,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3,-1,0,0,0,0,1,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,523,1,0,0,1,1,0,0,3,101,1,0,0,1,0,0
56,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,444,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1401,0,1,1,0,0,0,1,3,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,620,0,1,1,0,1,0,0,3,-1,0,0,0,0,1,0
52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1541,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
49,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-37,1,0,1,0,0,0,1,2,-1,0,0,0,0,1,0
